tileSetPath:pics/tileset.png
tileSetPath2:pics/tileset2a.png
tileSetTileSize:[16, 16]
cellSize:[64, 64]
overlap:[0, 0]
extent:[45, 30]
--
. . 41 42 . . 35 36 41 42 43 44 33 34 35 36 41 42 43 44 33 34 43 44 35 36 41 42 33 34 . 33 34 33 34 41 42 41 42 35 36 33 34 33 34
. 35 36 . . . 43 44 33 34 33 34 41 42 43 44 . . 35 36 41 42 . . 43 44 33 34 41 42 . 41 42 41 42 . . . . 43 44 41 42 41 42
36 43 44 32 32 32 32 32 41 42 41 42 . . . . . . 43 44 . . . . . . 41 42 35 36 35 36 35 36 . 5 3 1 1 1 1 1 2 33 34
44 33 34 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 6 . . . . . 43 44 43 44 43 44 5 3 19 39 9 39 9 39 10 41 42
. 41 42 8 9 39 9 39 9 9 39 39 39 39 39 39 39 39 9 9 9 20 4 6 . . . . . . . . . 5 3 19 39 9 39 9 39 9 10 33 34
33 34 . 8 9 9 39 9 9 28 17 17 17 17 17 17 17 17 27 9 9 9 20 1 1 1 1 1 1 1 1 1 1 1 19 39 9 39 9 39 9 39 10 41 42
41 42 . 8 9 39 9 39 9 10 15 . . . . . . 31 8 9 9 9 9 9 9 39 9 39 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 33 34
34 . . 8 9 9 39 9 9 20 1 1 1 1 1 1 1 1 19 9 9 9 9 9 39 9 39 9 39 9 9 9 32 9 9 9 9 9 9 9 9 9 10 41 42
42 33 34 8 9 39 9 39 9 28 17 17 17 17 17 17 17 17 17 17 17 17 27 9 9 39 9 39 9 9 9 9 32 9 9 9 9 9 9 9 9 9 10 . 33
36 41 42 8 9 9 9 9 28 12 14 . . . . . . . . . . 13 11 17 17 17 17 17 17 17 17 17 32 17 17 17 17 17 27 9 9 9 10 . 41
44 33 34 8 9 9 9 9 10 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 33 34 33 34 . . 33 34 33 34 . . 13 8 9 9 9 10 . 35
. 41 42 8 9 9 9 9 10 32 . . . . . . . . . 33 34 35 36 35 36 41 42 41 42 33 34 41 42 41 42 33 34 . 24 25 25 25 26 . 43
33 34 . 8 9 9 9 9 10 32 . . . 35 36 . . . . 41 42 43 44 43 44 35 36 33 34 41 42 33 34 35 36 41 42 5 8 9 9 9 10 . 35
41 42 . 8 9 9 9 9 10 32 . . . 43 44 . . . . . 33 34 . . . 43 44 41 42 . . 41 42 43 44 . 5 3 19 37 9 38 10 . 43
33 34 32 8 9 9 9 9 10 32 . . . . . . . . . . 41 42 . . . . . 35 36 33 34 . . . . 5 3 19 9 9 9 9 10 35 36
41 42 32 8 9 9 9 9 10 32 35 36 . . . . 5 3 1 1 1 1 1 4 6 . . 43 44 41 42 . . . 5 3 19 28 27 9 9 9 10 43 44
33 34 32 8 9 9 9 9 10 32 43 44 . . . 5 3 19 9 39 39 39 9 20 4 6 . . 33 34 . . . 5 3 19 28 12 8 9 9 9 10 33 34
41 42 32 8 9 9 9 28 12 33 34 33 34 . 5 3 19 9 9 9 9 9 9 9 20 4 6 . 41 42 . . 5 3 19 28 12 14 8 9 9 9 10 41 42
33 34 32 8 9 9 9 10 14 41 42 41 42 5 3 19 9 9 9 9 9 9 9 9 9 20 4 6 . . . 5 3 19 28 12 14 . 8 9 9 9 10 33 34
41 42 32 8 9 9 9 10 33 34 35 36 5 3 19 9 9 9 9 9 9 9 9 9 9 9 20 4 6 . 5 3 19 28 12 14 . 5 8 9 9 9 10 41 42
. . 32 8 9 9 9 10 41 42 43 44 3 19 9 9 9 9 9 39 39 39 9 9 9 9 9 20 1 1 1 1 1 1 1 1 1 1 19 9 9 9 10 35 36
35 36 . 8 9 9 9 20 1 1 1 1 19 9 9 9 9 28 17 17 17 17 27 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 43 44
43 44 . 8 9 9 9 9 9 9 9 9 9 9 9 9 28 12 14 . . 13 11 27 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 28 12 . 35
33 34 . 8 9 9 9 9 9 9 9 9 9 9 9 28 12 14 . 35 36 . 13 11 27 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 28 12 14 . 43
41 42 . 8 39 39 39 39 39 39 39 39 9 9 28 12 14 35 36 43 44 . . 13 11 27 9 9 9 9 9 9 9 9 9 9 9 9 9 28 12 14 . . 35
33 34 . 8 9 9 9 9 9 9 9 9 9 28 12 14 . 43 44 . 33 34 . . 13 11 27 9 9 9 9 9 9 9 9 9 9 9 28 12 14 . . . 43
41 42 . 8 39 39 39 39 39 39 39 39 28 12 14 . 33 34 33 34 41 42 . . . 13 11 17 17 17 17 17 17 17 17 17 17 17 12 14 . . . 35 36
33 34 . 16 17 17 17 17 17 17 17 17 12 14 33 34 41 42 41 42 35 36 33 34 . . . . . . . . . . . . . . . . . . . 43 44
41 42 33 34 . . . . . . 35 36 33 34 41 42 35 36 35 36 43 44 41 42 33 34 . . . . 33 34 35 36 33 34 35 36 . . . . 33 34 .
. . 41 42 35 36 35 36 35 36 43 44 41 42 . . 43 44 43 44 33 34 . . 41 42 35 36 35 36 41 42 43 44 41 42 43 44 33 34 33 34 41 42 .
--
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . 1 1
0 0 0 0 . . . . . . . . . . . . . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . . 0 1
0 0 0 . . . . . . . . . . . . . . . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . . . 0 1
0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 1
0 0 0 . . . . . . . 1 1 1 1 1 1 1 1 . . . . . . . . . . . . . . . . . . . . . . . . . 0 0
0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 0
0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 0
0 0 0 . . . . . . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . . . . . . . . . . . . . . . . . . . 0 0
0 0 0 . . . . . . 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . 0 0
0 0 0 . . . . . . 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . 0 0
0 0 0 . . . . . . 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . 0 0
0 0 0 . . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . 0 0
0 0 . . . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . 0 0
0 0 . . . . . . . 0 0 0 0 0 0 0 0 0 . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . . 0 0
0 0 . . . . . . . 0 0 0 0 0 0 0 0 . . . . . . . 0 0 0 0 0 0 0 0 0 0 0 . . 1 . . . . . 0 0
0 0 . . . . . . 0 0 0 0 0 0 0 0 . . . . . . . . . 0 0 0 0 0 0 0 0 0 . . 1 1 . . . . . 0 0
0 0 . . . . . . 0 0 0 0 0 0 0 . . . . . . . . . . . 0 0 0 0 0 0 0 . . 1 1 1 . . . . . 0 1
0 0 . . . . . . 0 0 0 0 0 0 . . . . . . . . . . . . . 0 0 0 0 0 . . 1 1 1 1 . . . . . 0 1
0 0 . . . . . . 0 0 0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 1
0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 1
0 0 0 . . . . . . . . . . . . . . 0 0 0 0 0 0 . . . . . . . . . . . . . . . . . . . 1 1 1
1 0 0 . . . . . . . . . . . . . 0 0 0 0 0 0 0 0 . . . . . . . . . . . . . . . . . 1 1 1 1
1 1 0 . . . . . . . . . . . . 0 0 0 0 0 0 0 0 0 0 . . . . . . . . . . . . . . . 1 1 1 1 1
1 1 1 . . . . . . . . . . . 0 0 0 0 0 0 0 0 0 0 0 0 . . . . . . . . . . . . . 1 1 1 1 1 1
1 1 1 . . . . . . . . . . 0 0 0 0 0 0 0 1 1 1 1 1 1 1 . . . . . . . . . . . 1 1 1 1 1 1 1
1 1 1 1 . . . . . . . . 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
