tileSetPath:pics/tileset.png
tileSetPath2:pics/tileset2a.png
tileSetTileSize:[16, 16]
cellSize:[64, 64]
overlap:[0, 0]
extent:[39, 26]
--
. . . . . . . . 35 36 35 36 33 34 33 34 35 36 35 36 41 42 41 42 41 42 43 44 . . . . . . . . . . .
. . . . . . . . 43 44 43 44 41 42 41 42 43 44 43 44 . . . . 35 36 . . . . . . . 32 32 32 32 32 32
. . . . . . 5 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 43 44 3 1 1 1 1 1 1 1 1 1 1 2 35
. . . . . 5 3 19 9 9 9 9 39 39 39 39 39 39 39 9 9 9 9 20 1 1 19 9 39 39 39 39 39 39 39 9 9 10 43
. . . . 5 3 19 9 9 9 9 9 39 39 39 39 39 39 39 9 9 9 9 9 9 9 9 9 39 39 39 39 39 39 9 9 9 10 35
. . . . 3 19 9 9 9 28 17 17 17 17 17 17 17 17 17 17 17 17 17 27 9 9 28 17 17 17 17 27 9 9 9 9 9 10 43
. . . . 8 9 9 9 28 12 14 . . . 33 34 35 36 . . . . . 11 17 17 12 32 32 32 32 8 9 9 9 9 9 10 35
. . . . 8 9 9 9 10 14 . . 33 34 41 42 43 44 35 36 . . . . 35 36 33 34 35 36 . 8 9 9 9 9 9 10 43
. . . . 24 25 25 25 26 . . . 41 42 35 36 33 34 43 44 35 36 . . 43 44 41 42 43 44 . 8 39 9 9 9 39 10 35
. . . . 8 9 9 9 10 . . . 35 36 43 44 41 42 35 36 43 44 35 36 33 34 35 36 33 34 . 8 39 9 32 9 39 10 43
. . . . 8 9 9 9 10 . . . 43 44 33 34 35 36 43 44 35 36 43 44 41 42 43 44 41 42 . 8 39 9 32 9 39 10 33
. . . . 8 37 9 38 10 . 35 36 35 36 41 42 43 44 33 34 43 44 35 36 35 36 33 34 . 35 36 8 39 9 32 9 39 10 41
. . . . 8 9 9 9 10 . 43 44 43 44 35 36 . . 41 42 . . 43 44 43 44 41 42 . 43 44 8 39 9 9 9 39 10 35
. . . . 8 9 9 9 10 33 34 35 36 . 43 44 . . . . . . . . . . . 32 32 32 32 8 9 9 9 9 9 10 43
. . . . 11 27 9 9 10 41 42 43 44 . . . . . . . . . . . . 5 3 1 1 1 1 19 9 9 9 9 9 10 .
. . . 33 34 8 9 9 10 35 36 . . . . . . . . . . . . . 5 3 19 9 39 39 39 9 9 9 9 9 9 10 .
. . . 41 42 8 9 9 10 43 44 . . . . . . . . . . . . 5 3 19 9 9 39 39 39 9 9 9 9 9 28 12 .
. . . 35 36 8 9 9 20 4 35 36 . . . . . . . . . 3 1 1 19 9 9 9 39 39 39 9 9 9 9 28 12 14 .
. . . 43 44 8 9 9 9 10 43 44 . . . . . . . . . 8 9 9 9 9 9 28 17 17 17 17 17 17 17 12 14 . .
. . . 35 36 8 9 9 9 10 . . . . . . . . . . . 8 9 9 9 9 28 12 32 32 32 32 32 32 32 . . . .
. . . 43 44 8 9 9 9 10 . . . . . . . . . . . 8 9 9 9 28 12 14 . . . . . . . . . . .
. . 33 34 . 11 27 9 9 10 . . . . . . . . . . . 11 17 17 17 12 14 . . . . . . . . . . . .
35 36 41 42 . 13 11 17 17 18 . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
43 44 35 36 35 36 . . . . 33 34 . . . . . . . . . . . . . . . . . . . . . . . . . . .
35 36 43 44 43 44 35 36 33 34 41 42 35 36 . . . . . . . . . . . . . . . . . . . . . . . . .
43 44 35 36 33 34 43 44 41 42 35 36 43 44 . . . . . . . . . . . . . . . . . . . . . . . . .
--
12 12 12 12 12 12 12 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
12 12 12 12 12 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1
12 12 12 12 12 0 0 0 . . . . . . . . . . . . . . . 0 0 0 0 . . . . . . . . . . 1 1
12 12 12 12 0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
12 12 12 0 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
12 12 12 0 0 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
12 12 12 0 . . . . . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . 1 . . . . . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 . . . . . . . 1
12 12 0 0 . . . . . 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 . . . . . . . . . . . 1
12 12 0 0 0 . . . . 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 . . . . . . . . . . . 1
12 12 0 0 0 . . . . 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 . . . . . . . . . . . . 1
12 0 0 0 0 . . . . 1 1 1 1 1 1 1 1 1 1 4 4 4 1 1 1 . . . . . . . . . . . . 1 1
12 0 0 0 0 . . . . 1 1 1 1 1 4 4 4 8 8 8 8 8 . . . . . . . . . . . . . . 1 1 1
12 0 0 0 0 . . . . . 4 4 8 8 8 8 8 8 8 8 8 . . . . . . . . . . . . . . 1 1 1 1
12 0 0 0 0 . . . . . 8 8 8 8 8 8 8 8 8 8 8 . . . . . . 0 . . . . . . . 1 1 1 1
0 0 0 0 0 . . . . . 8 8 8 8 8 8 8 8 8 8 8 . . . . . 0 0 0 0 0 0 0 0 0 1 1 1 12
0 0 0 0 0 0 . . . . 8 8 8 8 8 8 8 8 8 4 4 4 . . . 1 1 1 0 0 0 0 0 1 1 1 1 1 12
0 0 0 0 0 0 0 . . 4 8 8 8 8 4 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 12 12
0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 12 12 12
0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 12 12 12 12 1 1 1 1 1 1 1 12 12 12 12 12
0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12
