tileSetPath:pics/tileset.png
tileSetPath2:pics/tileset2a.png
tileSetTileSize:[16, 16]
cellSize:[64, 64]
overlap:[0, 0]
extent:[40, 25]
--
33 34 43 44 . . 33 34 41 42 . . . . . . . . . . . . 49 50 49 50 59 60 . . . . 57 58 59 60 49 50 59 60
41 42 0 1 1 4 41 42 3 1 1 1 1 1 1 1 1 1 2 . . . 57 58 57 58 . . . . . . . . 51 52 57 58 . 49
34 . 8 9 9 20 1 1 19 9 28 17 17 27 9 9 9 9 10 . . . . 49 50 . . . . . . . . . 59 60 51 52 . 57
42 . 8 9 28 17 17 17 17 17 12 33 34 11 17 17 17 17 18 . . . . 57 58 . . . . . . . . . . . 59 60 51 52
36 . 8 9 10 35 36 33 34 . . 41 42 33 34 35 36 32 . . . . . . . . . . . . . . . . . . 49 50 59 60
44 . 8 9 10 43 44 41 42 . . . . 41 42 43 44 32 . . . . . . . . . . . 51 52 . . . . . 57 58 . .
36 . 8 9 10 . . 3 1 1 1 1 1 1 1 1 2 32 . . . . . . . . . . . 59 60 . . . . . . . 49 50
44 . 8 9 20 1 1 19 9 9 9 9 9 9 9 9 10 32 49 50 . . . . . . . . 51 52 49 50 . . . . . . 57 58
. . 16 17 17 17 17 17 17 17 17 17 17 17 27 9 10 32 57 58 49 50 49 50 49 50 51 52 59 60 57 58 . . . . . . . .
. 33 34 . . . . . . . . . . . 8 9 10 32 49 50 57 58 57 58 57 58 59 60 . 51 52 . . . . . . . . .
. 41 42 35 36 33 34 35 36 33 34 33 34 32 8 9 10 32 57 58 . . . . . . . . . 59 60 . . . . . . . . .
34 35 36 43 44 41 42 43 44 41 42 41 42 32 8 9 10 32 . . . . . . . . . . . . . . . . . . . . . .
42 43 44 3 1 1 1 1 1 1 1 1 2 32 8 9 10 32 . . . . . . . . . . . . . . . . . . . . . .
34 . 3 19 9 9 9 9 9 9 9 9 10 32 8 9 10 32 . . . . . . 49 50 . . . . . . . . . . . . . .
42 . 8 9 9 9 9 9 9 9 9 9 10 32 8 9 10 32 . . . . . . 57 58 . . . . . . . . . . . . . .
33 34 8 9 9 9 28 17 17 17 27 9 10 32 8 9 10 32 . . . . . . . . . . . . . . . . . . . . . .
41 42 24 25 25 25 26 . . . 8 9 20 1 19 9 10 32 . . . . . . . . . . . . . . . . . . . . . .
35 36 8 9 9 9 10 . 35 36 8 9 9 9 9 9 10 32 . . . 49 50 . . . . . . . . . . . . . . . . .
43 44 8 9 9 9 20 4 43 44 16 17 17 17 17 17 18 32 . . . 57 58 . . . . . . . . . . . . . . . . .
35 36 8 9 9 9 9 20 1 2 35 36 35 36 35 36 33 34 . . . . . . . . . . . . . . . . . . . . . .
